wv_nm,T_293,T_283,T_273,T_263,T_253,T_243,T_233,T_223,T_213,T_203,T_193,T_228
283.98,74.645079,73.641978,73.024085,73.18683,73.298196,72.414531,73.089452,71.765972,72.13773,71.200534,72.039814,72.2664543842238
283.99,74.56142,73.54191,72.93397,73.082996,73.203508,72.306931,72.980238,71.65891,72.053264,71.098314,71.908273,72.1625600530339
284,74.477761,73.443456,72.846814,72.981583,73.110972,72.200407,72.872369,71.555883,71.971219,70.997708,71.777808,72.0610941276445
284.01,74.393833,73.346616,72.762348,72.88286,73.021126,72.094959,72.765845,71.45716,71.891326,70.898178,71.648957,71.962160315511
284.02,74.309905,73.251659,72.680303,72.787096,72.933701,71.990856,72.660128,71.362741,71.813316,70.800262,71.521989,71.8656620844238
284.03,74.22517,73.158316,72.600679,72.694022,72.848966,71.888905,72.556025,71.272088,71.736382,70.704498,71.39798,71.7718694466129
284.04,74.140166,73.066587,72.523207,72.603907,72.766383,71.788837,72.452998,71.18547,71.660793,70.610348,71.27693,71.680538381989
284.05,74.054893,72.976741,72.448156,72.51702,72.68649,71.690921,72.351854,71.102618,71.586011,70.518888,71.159915,71.5919959067977
284.06,73.969082,72.888778,72.374719,72.433361,72.609287,71.595964,72.252324,71.023263,71.512036,70.429849,71.047204,71.506256224098
284.07,73.883002,72.802429,72.303434,72.353199,72.534236,71.503697,72.154946,70.947136,71.43833,70.344038,70.939604,71.4232920546722
284.08,73.796922,72.718501,72.234032,72.276534,72.461606,71.414927,72.059451,70.874237,71.364893,70.261186,70.837384,71.3431638836795
284.09,73.711111,72.636456,72.166244,72.203366,72.391666,71.329385,71.966646,70.804028,71.291456,70.181831,70.740813,71.2659030179703
284.1,73.625569,72.556563,72.100339,72.133964,72.324147,71.24734,71.876531,70.736778,71.218557,70.106242,70.650698,71.1917228050264
284.11,73.540296,72.479091,72.036317,72.068059,72.259049,71.169061,71.789644,70.671949,71.145389,70.034688,70.567039,71.1205538877203
284.12,73.45583,72.404309,71.97364,72.005651,72.196372,71.094548,71.705716,70.609272,71.072759,69.9669,70.489836,71.0522914036758
284.13,73.37244,72.331948,71.912846,71.947278,72.135847,71.023801,71.625285,70.548478,71.000398,69.903685,70.419358,70.9870575214845
