wv_nm,T_227
284.37,70.084411305
284.38,70.05141711
284.39,70.017029495
284.4,69.98124039
284.41,69.94364226
284.42,69.904227035
284.43,69.86312518
284.44,69.81992916
284.45,69.774907975
284.46,69.72792309
284.47,69.67911304
284.48,69.628738755
284.49,69.57640884
284.5,69.52306883
284.51,69.468180725
284.52,69.41242913
284.53,69.355814045
284.54,69.29835161
284.55,69.240579825
284.56,69.18278383
284.57,69.12484123
284.58,69.06715149
284.59,69.009869285
284.6,68.95314122
284.61,68.896967295
284.62,68.841494115
284.63,68.786860215
284.64,68.732804665
284.65,68.679604535
284.66,68.62712936
284.67,68.57511014
284.68,68.52368541
284.69,68.47258617
284.7,68.42154342
284.71,68.370418625
284.72,68.318950855
284.73,68.26685497
284.74,68.21413904
284.75,68.16038746
284.76,68.105469765
284.77,68.049100815
284.78,67.99101161
284.79,67.93120215
284.8,67.869126365
284.81,67.805314185
284.82,67.73895861
284.83,67.670459105
284.84,67.5995386
284.85,67.526197095
284.86,67.450565055
284.87,67.372781015
284.88,67.292567905
284.89,67.210463725
284.9,67.126199475
284.91,67.040052225
284.92,66.952274835
284.93,66.862883445
284.94,66.77200045
284.95,66.680041455
284.96,66.58699839
284.97,66.49300979
284.98,66.39820612
284.99,66.30259545
285,66.20670771
285.01,66.11028197
285.02,66.013440625
285.03,65.91633028
285.04,65.818934795
285.05,65.721400775
285.06,65.623589685
285.07,65.525493455
285.08,65.427120155
285.09,65.328730715
285.1,65.22992567
285.11,65.130835485
285.12,65.031598695
285.13,64.931807765
285.14,64.83187023
285.15,64.73151709
285.16,64.63088688
285.17,64.5299796
285.18,64.42880332
285.19,64.327488505
285.2,64.22618176
285.21,64.124875015
285.22,64.02386148
285.23,63.923125015
285.24,63.82321976
285.25,63.72374625
285.26,63.62537295
285.27,63.52810793
285.28,63.43248919
285.29,63.3385248
285.3,63.246345225
285.31,63.156488465
285.32,63.069084985
285.33,62.984403785
285.34,62.902444865
285.35,62.823738155
285.36,62.74841412
285.37,62.67646469
285.38,62.608150795
285.39,62.5436029
285.4,62.4829434
285.41,62.42603376
285.42,62.37312684
285.43,62.32395364
285.44,62.278636555
285.45,62.237167515
285.46,62.19926945
285.47,62.16467336
285.48,62.13350164
285.49,62.10521629
285.5,62.07981731
285.51,62.056889095
285.52,62.03604025
285.53,62.01714031
285.54,61.99977367
285.55,61.98369554
285.56,61.96835985
285.57,61.953644205
285.58,61.939026745
285.59,61.924368935
285.6,61.90928745
285.61,61.893390895
285.62,61.87641027
285.63,61.858100785
285.64,61.838323905
285.65,61.81683484
285.66,61.79336459
285.67,61.76805976
285.68,61.74065942
285.69,61.71090264
285.7,61.67905842
285.71,61.644996295
285.72,61.6088548
285.73,61.5704954
285.74,61.53032563
285.75,61.488206955
285.76,61.444400305
285.77,61.39917468
285.78,61.352383475
285.79,61.304426155
285.8,61.25556365
285.81,61.205649355
285.82,61.15522127
285.83,61.104255185
285.84,61.0530201
285.85,61.001507945
285.86,60.950110115
285.87,60.89855761
285.88,60.847233755
